Number,Permit #,Permit Type Description,Permit Subtype Description,Parcel,Date Entered,Date,Date Issued,ConstructionCost,Address,City,State,Subdivision Lot,Contact,Permit Type,Permit SubType,IVR Tracking,Purpose,Council District,Lon,Lat,ObjectId,Zip Code,x,y
391,T2021069720,Building Use & Occupancy,Non-Commercial Community Gardens,7105017600,11/1/2021 5:00:00 AM,11/1/2021,,0,1833 HAYNES ST,NASHVILLE,TN,PT LOTS 39 & 40 SCRUGGS BROOKLYN HGTS,Jason Hitchcock 615.981.1108,CAUO,CAC09B001,4054539,"To establish Use & Occupancy for Brooklyn Heights Community Garden, non-profit community garden. This is a non-commercial garden for use/consumption by growers only.  Any proposed structures to be permitted separately. Site plan sent to file.  Includes two adjacent parcels (1833 & 1835 Haynes St) separated by an abandoned alley.  POC: Jason Hitchcock 615.981.1108",2,-86.78626937,36.2038998,391,37207,-9661003.314,4328714.063
392,T2021068853,Building Commercial - New,"Multifamily, Townhome",11400031800,10/27/2021 5:00:00 AM,10/27/202,,0,615 OLD HICKORY BLVD 501 B,NASHVILLE,TN,LOT 2 NOVEL HARPETH HEIGHTS,augusta burgess,CACN,CAA03R301,4053143,"Unit 701, Lot 110, of an eight unit town home building..  POC AUGUSTA BURGESS 615-690-8232",22,-86.92655663,36.1067551,392,37209,-9676620.021,4315320.669
393,T2021069255,Building Residential - New,Single Family Residence,11400031800,10/28/2021 5:00:00 AM,10/28/202,,1260,615 OLD HICKORY BLVD 701-750,NASHVILLE,TN,LOT 2 NOVEL HARPETH HEIGHTS,BEAZER HOMES CORP,CARN,CAA01R301,4053768,LOT 107 - UNIT 704 - To be built under MASTER PERMIT # 2021028049,22,-86.9256311,36.10840581,393,37209,-9676516.991,4315548.115
394,T2021069753,Building Residential - Addition,Single Family Residence,151100A17700CO,11/1/2021 5:00:00 AM,11/1/2021,,6500,1741 LONDONVIEW PL,ANTIOCH,TN,LOT 146 PH 2 VILLAGES OF LONG HUNTER,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARA,CAA01R301,4054595,to construct a 12 x 20 covered porch addition to the rear of residence.  PUDR MPC MUST APPROVE APPLICATION.  20' min rear s/b.,8,-86.57428114,36.07245179,394,37013,-9637404.892,4310595.212
395,T2021069820,Building Commercial - New,"Accessory Structure, Shed / Storage Bldg",7105017600,11/1/2021 5:00:00 AM,11/1/2021,,0,1833 HAYNES ST,NASHVILLE,TN,PT LOTS 39 & 40 SCRUGGS BROOKLYN HGTS,Jason Hitchcock 615.981.1108,CACN,CAA14U011,4054706,"To construct a 15 ft x 40 ft (600 sf) Pack & Wash open air covered accessory structure for Brooklyn Heights Community Garden, a non-profit community garden. This is a non-commercial garden for use/consumption by growers only. U&O established on 2021069720.    Plans must be submitted electronically via ePlans system for Review. Sidewalks ARE required for this project because the frontage of this parcel is within a 1/4 mile of a Nashville Next Center.    POC: Jason Hitchcock 615.981.1108",2,-86.78626937,36.2038998,395,37207,-9661003.314,4328714.063
396,T2021069827,Building Residential - New,"Multifamily, Townhome",7013005500,11/1/2021 5:00:00 AM,11/1/2021,,792813,3201 B JOHN MALLETTE DR,NASHVILLE,TN,LOT 4 BLK 1 SHEEGOG SUB,DON HARDIN GROUP,CARN,CAA03R301,4054688,REJECTED: MASTER PERMIT TYPE REQUIRED.    The attached plans show 6 Units on the site plan.  The Unit A plan will be identical for each of the six.,1,-86.83288872,36.1925344,396,37218,-9666192.956,4327146.251
397,T2021069828,Building Commercial - New,"Accessory Structure, Shed / Storage Bldg",7105017500,11/1/2021 5:00:00 AM,11/1/2021,,0,1835 HAYNES ST,NASHVILLE,TN,PT LOT 38 SCRUGGS BROOKLYN HGTS,Jason Hitchcock 615.981.1108,CACN,CAA14U011,4054717,"To construct a 12 ft x 20 ft (240 sf) open air covered Teaching Space accessory structure for Brooklyn Heights Community Garden, a non-profit community garden. This is a non-commercial garden for use/consumption by growers only. U&O established on 2021069720.    Plans must be submitted electronically via ePlans system for Review. Sidewalks ARE required for this project because the frontage of this parcel is within a 1/4 mile of a Nashville Next Center.    POC: Jason Hitchcock 615.981.1108",2,-86.78643753,36.20405433,397,37207,-9661022.034,4328735.381
398,T2021069876,Building Commercial - Rehab,"Multifamily, Condominium > 5 Unit Bldg",093061J11600CO,11/1/2021 5:00:00 AM,11/1/2021,,0,415 CHURCH ST 1709,NASHVILLE,TN,UNIT 1709 VIRIDIAN CONDOMINIUM 1ST AMEND,MEGAN FERDRICO,CACR,CAA03R299,4054800,"covert tub/shower to shower only, replace tile and new vanity  POC MEGAN FREDERICO",19,-86.77928335,36.1631005,398,37219,-9660225.634,4323087.02
399,T2021069880,Building Residential - New,"Multifamily, Apt / Twnhome > 5 Unit Bldg",051020B00100CO,11/1/2021 5:00:00 AM,11/1/2021,,245000,2201 CHADWELL STATION LN,MADISON,TN,UNIT 1 CHADWELL STATION,VESTA & VULCAN LLC,CARN,CAA03R399,4054788,"REJECTED: PERMIT TYPE REQUIRED: CARN SUBTYPE: SINGLE FAMILY    PLEASE VERIFY PERMIT TYPE  TO CONSTRUCT A SINGLE UNIT, 2069 SQ FT WITH 421 SQ FT GARAGE @ 2201 CHADWELL STATION LANE MASTER PERMIT # CAUO 2021037523",3,-86.7363749,36.25477599,399,37115,-9655449.087,4335735.023
400,T2021069900,Building Residential - New,Mobile Home Dwelling,16200011300,11/1/2021 5:00:00 AM,11/1/2021,,672,1500 BELL RD 2 B,NASHVILLE,TN,S SIDE BELL RD E OF OLD HICKORY BLVD (SPECIAL INTEREST),BACAR CONSTRUCTORS INC,CARN,CAA04R301,4049699,"REJECTED: INCORRECT PERMIT TYPE, THIS IS A COMMERCIAL PERMIT. For commercial building permits please reference the instructions at the following link: https://www.nashville.gov/Codes-Administration/Construction-and-Permits/Electronic-Plans-Review.aspx    60' x 12 temporary construction trailer",31,-86.69231549,36.04066585,400,37211,-9650544.416,4306218.374
401,T2022005456,Building Residential - New,"Accessory Structure, Carport",13104004900,1/26/2022 6:00:00 AM,1/26/2022,,0,1601 B SHACKLEFORD RD,NASHVILLE,TN,"LOT 1 BELMONT PARK PLACE, GEORGE W BLAIRS RESUB LT 24",Britt Depriest,CARN,CAA14U004,4083467,"Construct a ' x ' carport. Minimum side street setback 20' (per Zoning Code 17.20.060D  Garage doors opening toward a public street shall be a minimum of twenty feet from the property line. ) and rear setback 3'. POC: Britt Depriest, 615.807.0872. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor’s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit. No construction and demolition waste will be stored on the property and such waste shall be disposed of in a clean and sanitary manner by placing it in approved containers and having such waste discarded at an approved landfill. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage.",25,-86.80220337,36.10095281,401,37215,-9662777.079,4314521.229
402,T2022005497,Building Residential - Rehab,Single Family Residence,13016003200,1/26/2022 6:00:00 AM,1/26/2022,,50000,4525 CARLTON DR,NASHVILLE,TN,LOT 12 CHERRY ACRES,"BISON HOME BUILDERS, INC.",CARR,CAA01R301,4083509,Kitchen remodel,34,-86.83928972,36.08351639,402,37215,-9666905.513,4312119.192
403,T2022005528,Building Demolition Permit,Demolition Permit - Residential,081084X90000CO,1/26/2022 6:00:00 AM,1/26/2022,,5000,1710 6TH AVE N,NASHVILLE,TN,COMMON AREA ROW AT 6TH AND GARFIELD,"CHRISTIAN, MICHAEL J HOUSE MOVERS",CADM,CAZ01A001,4083583,"to demolish existing residence.  not to be burned on lot.  SP Zoning.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",19,-86.7940164,36.18222144,403,37208,-9661865.71,4325723.816
404,T2022005520,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",15007007700,1/26/2022 6:00:00 AM,1/26/2022,,7728,3100 STONEYBROOK CIR,ANTIOCH,TN,LOT 74 TOWNE VILLAGE OF THE COUNTRY SEC. 1,Self Permit,CARN,CAA14U011,4083575,To place a 10 x 16 shed to the rear of the residence.,8,-86.60780803,36.0737985,404,37013,-9641137.089,4310780.689
405,T2022005548,Building Demolition Permit,Demolition Permit - Residential,9106009200,1/26/2022 6:00:00 AM,1/26/2022,,10000,5928 CARL PL,NASHVILLE,TN,LOT 25 WEST PARK ADDN NO 1,FUNK HOMES LLC,CADM,CAZ01A001,4083628,TO DEMOLISH EXISTING RESIDENCE.  NOT TO BE BURNED ON SITE.  WORK ON THIS DEMOLITION PERMIT MUST COMMENCE WITHIN THIRTY (30) DAYS OF ISSUANCE AND BE COMPLETED SIXTY (60) DAYS AFTER COMMENCEMENT. THIS PERMIT EXPIRES 90 DAYS AFTER THE PERMIT IS ISSUED. PLEASE CALL 811 BEFORE YOU DIG.  APPLICANT TO SUBMIT COMPLETED DEMOLITION COMMENCEMENT AFFIDAVIT FORM UPON COMMENCEMENT OF DEMOLITION.,20,-86.86138146,36.15992424,405,37209,-9669364.754,4322649.072
406,T2022005608,Building Demolition Permit,Demolition Permit - Residential,081084X90000CO,1/26/2022 6:00:00 AM,1/26/2022,,5000,1712 6TH AVE N,NASHVILLE,TN,COMMON AREA ROW AT 6TH AND GARFIELD,"CHRISTIAN, MICHAEL J HOUSE MOVERS",CADM,CAZ01A001,4083751,"to demolish existing residence.  not to be burned on lot.  SP Zoning.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",19,-86.79406141,36.18226233,406,37208,-9661870.72,4325729.456
407,T2022005641,Building Residential - New,"Multifamily, Townhome",7213017600,1/26/2022 6:00:00 AM,1/26/2022,,0,2405 EMMETT AVE,NASHVILLE,TN,LOT 243 REVISION OF PART OF TREVECCA,RESPEN BUILDERS INC,CARN,CAA03R301,4083797,"This will be a new construction. There will be 2 units built. It will consist of new plumbing, electrical, and hvac. Each unit will be 2 stories with 3 bedroom and 2 1/2 bathrooms. Plans are attached. ",5,-86.74766945,36.1950337,407,37206,-9656706.391,4327491
408,T2022005661,Building Residential - New,Single Family Residence,086120E24700CO,1/26/2022 6:00:00 AM,1/26/2022,,189116,4911 MYRA DR,HERMITAGE,TN,UNIT 247 RIVERBROOK AMENDED,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4083872,"New Single Family construction - Total sq footage 2843 - 1st fl 866; 2nd fl 1277; Garage 468; Porch/Patio 242.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12,-86.59008637,36.1801747,408,37076,-9639164.323,4325441.538
409,T2022005665,Building Residential - Addition,Single Family Residence,10415013200,1/26/2022 6:00:00 AM,1/26/2022,,39749,2700 W LINDEN AVE,NASHVILLE,TN,PT LOT 9 SUNSET PARK,"JBT CONSTRUCTION, LLC",CARA,CAA01R301,4083743,"To construct addition and renovations to existing single family residence. Adding 243 sq ft of living and 213 sq ft of screened porch.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",18,-86.81030825,36.1285026,409,37212,-9663679.31,4318317.568
410,T2022005672,Building Residential - New,Single Family Residence,086120E19700CO,1/26/2022 6:00:00 AM,1/26/2022,,330816,1451 JAPONICA ALY,HERMITAGE,TN,UNIT 197 RIVERBROOK AMENDED,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4083883,"New Single Family construction - Total sq footage 3177 - 1st fl 1004; 2nd fl 1429; Gargage 468; Porch/Patio 274.  SP zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12,-86.59047532,36.17997202,410,37076,-9639207.62,4325413.586
411,T2022005675,Building Residential - New,Single Family Residence,086120E19600CO,1/26/2022 6:00:00 AM,1/26/2022,,255457,1453 JAPONICA ALY,HERMITAGE,TN,UNIT 196 RIVERBROOK AMENDED,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4083888,"New Single Family construction - Total sq footage 2465 - 1st fl 1160; 2nd fl 710; Garage 468; Porch/patio 127.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12,-86.59057811,36.1800285,411,37076,-9639219.063,4325421.375
412,T2022005690,Building Residential - New,Single Family Residence,086120E24900CO,1/26/2022 6:00:00 AM,1/26/2022,,289087,4915 MYRA DR,HERMITAGE,TN,UNIT 249 RIVERBROOK AMENDED,MERITAGE HOMES OF TENNESSEE INC,CARN,CAA01R301,4083908,"New Single Family construction - Total sq footage 2143 sf living, 468 sf attached garage and 138 sf porch.  SP Zoning.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",12,-86.59029202,36.1802996,412,37076,-9639187.215,4325458.764
413,T2022005709,Building Residential - New,"Accessory Structure, Pools - Residential",15902003800,1/26/2022 6:00:00 AM,1/26/2022,,98073,1239 CARL SEYFERT MEMORIAL DR,BRENTWOOD,TN,LOT 9 GALAXY ESTATES,Pool and Spa Depot,CARN,CAA14U017,4083932,Will be installing a 14'x32' 373SF fiberglass inground swimming pool with a 400 SF brushed concrete deck. Existing code compliant fence,34,-86.82086492,36.05893482,413,37027,-9664854.473,4308733.746
414,T2022005717,Building Residential - New,Single Family Residence,081031Y00200CO,1/26/2022 6:00:00 AM,1/26/2022,,300563,2409 18TH AVE N,NASHVILLE,TN,UNIT B 18TH AVENUE HOMES,BUILD TRUST HOMES LLC,CARN,CAA01R301,4083943,"To construct a new HPR single-family residence with 2250 sq. ft. of living space, 345 sq. ft. garage, and 230 SF of Front porch and Rear deck.  units detached.  max allowed height is 27.8'.  min required distance between structures is 6' min with no bump outs.  40' min front s/b; 5' min side s/b; 20' min rear s/b.  must comply with tree regulations one new two inch tree for every 30' road frontage.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  must comply fully with metro council bills 2014-725 and 2014-770.",2,-86.81244813,36.19073725,414,37208,-9663917.52,4326898.362
415,T2022005839,Building Use & Occupancy,"Multifamily, Townhome",091030D90000CO,1/27/2022 6:00:00 AM,1/27/2022,,50,1424 B 54TH AVE N,NASHVILLE,TN,COMMON AREA STATESIDE PARK,Regal Homes,CAUO,CAA03R301,4084099,"This Master Permit (not for construction) is for site coordination for STATESIDE PARK, a 20 unit HPR development of detached, four story, R-3 townhomes to be sprinklered with a 13D sprinkler system.  The site is zoned MUL-A and sidewalks with alley widening dedication is required as shown on the site plan.  For every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to Metro Council bill 2017-835.  Must comply fully with Metro Council bills 2014-725 and 2014-770.  POC John Rankin 615-584-4140 RegalHomes9052@gmail.com.  NO CONSTRUCTION THIS PERMIT",20,-86.85217363,36.16376424,415,37209,-9668339.743,4323178.539
416,T2022005882,Building Commercial - Rehab,"Warehouse, Storage S-2",11812002100,1/27/2022 6:00:00 AM,1/27/2022,,0,2618 EUGENIA AVE,NASHVILLE,TN,"LOTS 219,220,221 T & R EDENWOLD & PT CL AL",Tracie Hogan,CACR,CAH10S002,4084193,"Utilize approximately 3800 SF to warehouse wine for a wine wholesale business. Applicant states no work being done. POC: Tracie Hogan, 425-780-0563.",16,-86.75384577,36.11435909,416,37211,-9657393.936,4316368.437
417,T2022005895,Building Residential - Addition,"Accessory Structure, Decks",155160A11900CO,1/27/2022 6:00:00 AM,1/27/2022,,47284,6220 DEERBROOK DR,NASHVILLE,TN,LOT 332 TRACESIDE SECTION 4,"ARCHADECK OF NASHVILLE, HENDERSON ENTERPRISE LLC DBA",CARA,CAA14U015,4084220,"--ELECTRICAL WILL BE PART OF THIS PROJECT. OUR SUBCONTRACTOR WILL NEED TO BE ABLE TO PULL A PERMIT--  Archadeck to design and build 13’x30’ shed/hip closed gable end roof porch with footers below grade. Porch will be built utilizing pressure treated 6”x6” posts, hot dip galvanized fasteners, a parting board and fascia and risers to match decking. A block wall foundation will be added with brick veneer to match home. Pressure treated floor joists and cypress decking will be used for the flooring. Scenix tempered glass windows with a frame color of white, miratec trim with wood grain side and a new aluminum storm door with a frame color of white will be added. Porch will have a tongue and groove ceiling finish with aluminum fascia and vinyl soffit. Fortress Fe26 iron railing in the color of black gloss will be added to the stairs only. ",35,-86.96085082,36.03338269,417,37221,-9680437.632,4305215.752
418,T2022006171,Building Residential - Rehab,Single Family Residence,7416008300,1/28/2022 6:00:00 AM,1/28/2022,,3000,5008 BONNAWELL DR,HERMITAGE,TN,LOT 402 SEC 5 HERMITAGE HILLS,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARR,CAA01R301,4084693,to install a full bath in basement area of residence.,14,-86.63359875,36.19629817,418,37076,-9644008.098,4327665.423
419,T2022005936,Building Use & Occupancy,Master Permit Application,082120S90000CO,1/27/2022 6:00:00 AM,1/27/2022,,50,213 E N 9TH ST,NASHVILLE,TN,COMMON AREA HOMES AT 213 NORTH 9TH STREET,"LINVILLE BUILDERS, LLC",CAUO,CAZ03A001,4084305,"Master permit to construct 2 attached duplexes to the rear of 2 existing, for a total of 4 single family homes on this parcel...**no construction this permit**...  POC EDDIE@LINVILLEBUILDERS.COM  BB POC JUSTIN CRANDALL",5,-86.75756385,36.17906665,419,37206,-9657807.83,4325288.723
420,T2022006294,Building Residential - New,Single Family Residence,131080N00200CO,1/28/2022 6:00:00 AM,1/28/2022,,67672,4414 FARRISWOOD DR,NASHVILLE,TN,UNIT B FARRISWOOD COTTAGES,"PORCH CO INC, THE",CARN,CAA01R301,4084879,"To build a screen porch on the back of home, approx. 17' by 16' in size. This will be unheated space. Electrical and gas/mechanical will be needed.",25,-86.79844808,36.0950299,420,37204,-9662359.042,4313705.231
421,T2022006296,Building Residential - Addition,Single Family Residence,10304048800,1/28/2022 6:00:00 AM,1/28/2022,,157090,4209 B UTAH AVE,NASHVILLE,TN,LOT 1 PLAN OF WEST END ANNEX AMENDMENT LOT 89,STRATTON EXTERIORS INC,CARA,CAA01R301,4084881,"Project consists of converting approximately 385 SF of second level to DADU and adding approximately 99 SF of elevated deck. The estimated costs are $157,090 to complete. NOT A DADU, NOT TO BE USED FOR DWELLING PURPOSE. Not to be built in 20' PUDE.",24,-86.83778134,36.14411026,421,37209,-9666737.6,4320468.883
422,T2022006465,Building Residential - New,Single Family Residence,9614016000,1/29/2022 6:00:00 AM,1/29/2022,,0,901 ALLEN RD,NASHVILLE,TN,S SIDE ALLEN RD W OF COLFAX DR,"DURRUTY, JUAN GUILLERMO",CARN,CAA01R301,4085140,"REJECTED: PLAT MUST BE RECORDED/PARCELS CREATED PRIOR TO PERMIT APPLICATION. MUST RESUBMIT WHEN PLAT RECORDED.      The parent parcel number is 09614016000, is zone code RS10, contains 3.88 Acres. The current application is for developing lot 11, of the subdivision, of proposed horizontal property line regime with 4,296 Square Feet of living area, 832 SF attached garage,455 SF of total porch area, 186 SF of exterior deck area. 20’ min. front s/b, 5’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regards to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",15,-86.65947197,36.14909782,422,37214,-9646888.292,4321156.444
423,T2022006547,Building Commercial - Rehab,"Manufacturing, Light Hazardous (H1-H5)",11816006700,1/31/2022 6:00:00 AM,1/31/2022,,43328,2909 ARMORY DR,NASHVILLE,TN,LOT 159 SEC 3 SIDCO,Danielle Johnson,CACR,CAH06H000,4085228,"Removal of indicated items in Plans. (Flooring, Ceiling Grids, Interior Walls, Windows, Roof  Drains, Overhead Doors, Fencing, disconnected MP&E items  POC DANIELLE JOHNSON",26,-86.75269291,36.10887199,423,37204,-9657265.6,4315612.349
424,T2022006556,Building Residential - Rehab,Single Family Residence,6103017300,1/31/2022 6:00:00 AM,1/31/2022,,0,5025 INGLEWOOD CT,NASHVILLE,TN,LOT 55 INGLEWOOD HGTS,sameh lawendy,CARR,CAA01R301,4085242,"to demolish attached garage portion of the existing single family residence. living portion of house to remain. not to be buried or burned on site.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.72287974,36.23334686,424,37216,-9653946.813,4332777.227
425,T2022006574,Building Use & Occupancy,"Multifamily, Townhome",7114010500,1/31/2022 6:00:00 AM,1/31/2022,,0,1307 BAPTIST WORLD CENTER DR,NASHVILLE,TN,LOT 2 W G BUSH SUB,RYAN WOODSON,CAUO,CAA03R301,4085279,"Master Permit application for a development to include 10 townhomes at 1303, 1305, and  1307 Baptist World Center Drive and all associated site infrastructure and utilities.  Application is being made at this time for Codes review and comment on proposed FAR  calculation for the project. As shown in the attached exhibit compiled by Hefley  Architects, parking garage and roof deck spaces are being omitted from the FAR  calculation for the site.  POC RYAN WOODSON",2,-86.78041967,36.19534048,425,37207,-9660352.129,4327533.318
426,T2022006669,Building Residential - Addition,Single Family Residence,8304017600,1/31/2022 6:00:00 AM,1/31/2022,,59165,2318 CARTER AVE,NASHVILLE,TN,LOT 25 ROSEBANK SUB JWC CHURCH& PT L 52 BROWNSVILLE & TRACT,"BLUE CHIP INVESTMENTS, LLC",CARA,CAA01R301,4085422,"TO CONSTRUCT 488 SQFT ADDITION OFF REAR OF EXISTING SINGLE FAMILY (SEE PLAN)… …5’ MINIMUM SIDE SETBACK… …20’ MINIMUM REAR SETBACK… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …NOT TO BUILD OVER OR OBSTRUCT EASEMENTS… …",6,-86.72027427,36.18830515,426,37206,-9653656.773,4326562.901
427,T2022006583,Building Residential - New,"Accessory Structure, Pools - Residential",8303015600,1/31/2022 6:00:00 AM,1/31/2022,,0,1204 B RIVERSIDE DR,NASHVILLE,TN,PT LOTS 35 & 36 ASHWORTH SUB 47 48 49 50BROWNSVILLE,PROGRESSIVE DEVELOPMENT LLC,CARN,CAA14U017,4085300,"REJECTED: INCORRECT PERMIT TYPE, APPLICATION TO BE CANCELED. RESUBMIT CARN WITH ACCESSORY STRUCTURE/SHED SUB TYPE. KITCHEN NOT PERMITTED/REMOVE FROM PLANS.    To construct pool house on the back of the property, 608 sf",6,-86.72694217,36.18864976,427,37206,-9654399.04,4326610.433
428,T2022006872,Building Commercial - Rehab,"General Office, Professional Services",9212047900,2/1/2022 6:00:00 AM,2/1/2022 ,,0,1720 WEST END AVE 600,NASHVILLE,TN,PT LOT 134 BOYD HOME TRACT,CONNOR KUHLE,CACR,CAD02B016,4085749,Second generation tenant improvement on 6th floor of existing office building. Improvement to include demo suite 600  POC CONNOR KUHLE,19,-86.79585194,36.15348678,428,37203,-9662070.041,4321761.521
429,T2022006874,Building Residential - New,Detached Accessory Dwelling Unit,8309003000,2/1/2022 6:00:00 AM,2/1/2022 ,,113116,1210 B ORDWAY PL,NASHVILLE,TN,LOT 15 F O BEAZLEY SUB BLK C DOUGLAS,jim dukes,CARN,CAA11R301,4085752,"to construct 1,383Sf detached accessory dwelling unit (635SF living space, 748SF garage space) to the rear of existing single family residence. not to be over any easements.  must comply with hcn2022001656    ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",6,-86.74704489,36.17996663,429,37206,-9656636.865,4325412.842
430,T2022006941,Building Demolition Permit,Demolition Permit - Residential,5300001600,2/1/2022 6:00:00 AM,2/1/2022 ,,9480,1507 ROBINSON RD,OLD HICKORY,TN,N. SIDE ROBINSON ROAD E. OF MERRITT STREET,"TINY'S CONSTRUCTION, LLC",CADM,CAZ01A001,4085878,"Demolition of house including slab, foundation, and footers.  not to be burned on lot.  CS Zoning.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. STAMPED PLAN ATTACHED IN CITYWORKS (LM)",11,-86.65216097,36.25493803,430,37138,-9646074.435,4335757.392
431,T2022006886,Building Commercial - Rehab,"Religious Institution, Worship Space",8215020400,2/1/2022 6:00:00 AM,2/1/2022 ,,0,518 RUSSELL ST,NASHVILLE,TN,LOTS 24 25 PT LOT 23 ZOLLICOFFER ADDN,HALIE CHANDLIER,CACR,CAB10A305,4085783,"28,744 SF OF EXISTING IIIA CONSTRUCTION BUILDING TO BE RENOVATED.  NEW WORK TO BE PROVIDED IN FORTHCOMING CONSTRUCTION DOCUMENTS. CURRENT SCOPE OF WORK INCLUDES INTERIOR DEMOLITION ONLY.  POC HALIE CHADNLIER",6,-86.76233176,36.1711996,431,37206,-9658338.592,4324203.815
432,T2022006952,Building Tree Removal Permit,Tree Removal Permit,059160A90000CO,2/1/2022 6:00:00 AM,2/1/2022 ,,10000,2607 B WHITES CREEK PIKE,NASHVILLE,TN,COMMON AREA HOMES AT 2607 WHITES CREEK VILLAS,JACKSON BUILDERS,CATR,CATREE,4085897,To remove denoted existing trees for 2021066466,2,-86.80163063,36.21739924,432,37207,-9662713.322,4330576.553
433,T2022006959,Building Residential - Rehab,"Accessory Structure, Decks",8314032300,2/1/2022 6:00:00 AM,2/1/2022 ,,0,1806 BOSCOBEL ST,NASHVILLE,TN,LOT 56 EDGEFIELD LAND CO 1,TRISTAR BUILDING SERVICE LLC,CARR,CAA14U015,4085892,"TriStar Building Services seeks to obtain a building permit for removal and replacement of existing deck in same profile and footprint. Footers will be spaced and excavated to the required depth and size set forth by the International Code Standard as well as the protocols set forth by the Davidson County Codes Dept. Framing will consist of pressure treated lumber, constructed per the guidelines set forth by the International Code Standard as well as the protocols set forth by the Davidson County Codes Department. Distance from left property line: 13''. Distance from right property line: 12''. Distance from rear property line: 63''. No change in footprint. Remains single family residence. For every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835. 20' min rear s/b. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.  MHZC must review application.",6,-86.73833887,36.17093032,433,37206,-9655667.715,4324166.682
